query	page	clicks	impressions	ctr	position
how to groom a goldendoodle at home	https://examplepetgear.com/blog/goldendoodle-grooming-guide	118	5400	2.19%	5.2
goldendoodle grooming guide	https://examplepetgear.com/blog/goldendoodle-grooming-guide	96	4300	2.23%	4.8
best clippers for goldendoodles	https://examplepetgear.com/blog/goldendoodle-grooming-guide	52	3100	1.68%	8.6
goldendoodle grooming tools	https://examplepetgear.com/blog/goldendoodle-grooming-guide	47	2800	1.68%	7.4
goldendoodle haircut at home	https://examplepetgear.com/blog/goldendoodle-grooming-guide	35	2100	1.67%	9.2
how often groom goldendoodle	https://examplepetgear.com/blog/goldendoodle-grooming-guide	29	1850	1.57%	6.9
goldendoodle mats grooming	https://examplepetgear.com/blog/goldendoodle-grooming-guide	21	1600	1.31%	10.8
goldendoodle sanitary trim guide	https://examplepetgear.com/blog/goldendoodle-grooming-guide	17	1250	1.36%	12.1
how to groom a poodle at home	https://examplepetgear.com/blog/poodle-grooming-guide	86	3900	2.21%	5.6
poodle grooming guide	https://examplepetgear.com/blog/poodle-grooming-guide	64	3100	2.06%	4.9
poodle grooming tools	https://examplepetgear.com/blog/poodle-grooming-guide	31	1900	1.63%	8.1
best clippers for poodles	https://examplepetgear.com/blog/poodle-grooming-guide	27	1700	1.59%	9.4
poodle face grooming tips	https://examplepetgear.com/blog/poodle-grooming-guide	18	1100	1.64%	11.6
poodle paw trimming guide	https://examplepetgear.com/blog/poodle-grooming-guide	14	980	1.43%	13.7
dog nail grinding tips	https://examplepetgear.com/blog/dog-nail-grinding-guide	72	3600	2.00%	6.2
how to use dog nail grinder	https://examplepetgear.com/blog/dog-nail-grinding-guide	55	2900	1.90%	5.7
dog nail grinder vs clippers	https://examplepetgear.com/blog/dog-nail-grinding-guide	41	2400	1.71%	8.8
best dog nail grinder for nervous dogs	https://examplepetgear.com/blog/dog-nail-grinding-guide	26	1600	1.63%	9.7
stop dog nail grinder bleeding	https://examplepetgear.com/blog/dog-nail-grinding-guide	13	900	1.44%	12.3
dog nail grinder maintenance	https://examplepetgear.com/blog/dog-nail-grinding-guide	9	720	1.25%	14.8
dog deshedding brush guide	https://examplepetgear.com/blog/deshedding-brush-guide	68	3300	2.06%	5.8
best brush for double coat dogs	https://examplepetgear.com/blog/deshedding-brush-guide	44	2600	1.69%	8.4
how to reduce dog shedding	https://examplepetgear.com/blog/deshedding-brush-guide	39	2300	1.70%	7.8
deshedding tool for golden retriever	https://examplepetgear.com/blog/deshedding-brush-guide	22	1500	1.47%	10.2
dog shedding brush before after	https://examplepetgear.com/blog/deshedding-brush-guide	15	1200	1.25%	11.8
best brush for husky shedding	https://examplepetgear.com/blog/deshedding-brush-guide	18	1350	1.33%	10.9
dog grooming vacuum guide	https://examplepetgear.com/blog/pet-grooming-vacuum-guide	58	2800	2.07%	6.4
pet grooming vacuum for husky	https://examplepetgear.com/blog/pet-grooming-vacuum-guide	20	1350	1.48%	10.9
pet grooming vacuum pros and cons	https://examplepetgear.com/blog/pet-grooming-vacuum-guide	16	1150	1.39%	12.5
grooming vacuum for long hair dogs	https://examplepetgear.com/blog/pet-grooming-vacuum-guide	12	980	1.22%	14.2
dog grooming table setup	https://examplepetgear.com/blog/home-grooming-station-guide	33	1900	1.74%	8.3
home grooming station for dogs	https://examplepetgear.com/blog/home-grooming-station-guide	26	1500	1.73%	9.1
dog grooming supplies checklist	https://examplepetgear.com/blog/home-grooming-station-guide	24	1400	1.71%	10.4
