query,page,clicks,impressions,ctr,position
best dog grooming clippers,https://examplepetgear.com/products/pro-dog-grooming-clippers,42,18200,0.23%,4.8
professional dog grooming clippers,https://examplepetgear.com/products/pro-dog-grooming-clippers,36,14650,0.25%,5.4
quiet clippers for dogs,https://examplepetgear.com/products/quiet-dog-clippers,28,12100,0.23%,6.1
dog grooming clipper kit,https://examplepetgear.com/products/pro-dog-grooming-clippers,31,9800,0.32%,7.2
low noise dog clippers,https://examplepetgear.com/products/quiet-dog-clippers,19,7600,0.25%,8.4
cordless pet grooming clippers,https://examplepetgear.com/products/cordless-pet-clippers,24,6900,0.35%,6.8
pet grooming clippers for thick coats,https://examplepetgear.com/products/heavy-duty-pet-clippers,16,6200,0.26%,7.6
dog clippers for matted hair,https://examplepetgear.com/products/heavy-duty-pet-clippers,14,5400,0.26%,8.9
best clippers for doodles,https://examplepetgear.com/blog/best-clippers-for-doodles,12,5100,0.24%,5.9
dog grooming tools for home,https://examplepetgear.com/collections/home-grooming-tools,18,4800,0.38%,6.5
pet grooming vacuum kit,https://examplepetgear.com/products/pet-grooming-vacuum-kit,15,4300,0.35%,7.8
dog grooming vacuum for shedding,https://examplepetgear.com/products/pet-grooming-vacuum-kit,11,3900,0.28%,8.2
best dog nail grinder,https://examplepetgear.com/products/quiet-dog-nail-grinder,13,3600,0.36%,5.7
quiet dog nail grinder,https://examplepetgear.com/products/quiet-dog-nail-grinder,10,3300,0.30%,4.9
pet grooming dryer for dogs,https://examplepetgear.com/products/high-velocity-dog-dryer,9,3100,0.29%,7.1
high velocity dog dryer,https://examplepetgear.com/products/high-velocity-dog-dryer,8,2900,0.28%,6.4
dog grooming table for home,https://examplepetgear.com/products/foldable-grooming-table,10,2700,0.37%,8.7
foldable dog grooming table,https://examplepetgear.com/products/foldable-grooming-table,7,2300,0.30%,7.9
pet grooming brush for shedding,https://examplepetgear.com/products/deshedding-brush,8,2200,0.36%,6.9
best brush for golden retriever shedding,https://examplepetgear.com/products/deshedding-brush,6,1900,0.32%,8.8
dog grooming scissors kit,https://examplepetgear.com/products/grooming-scissors-kit,5,1700,0.29%,7.4
rounded tip dog grooming scissors,https://examplepetgear.com/products/grooming-scissors-kit,4,1500,0.27%,6.6
pet grooming supplies online,https://examplepetgear.com/collections/pet-grooming-supplies,7,1400,0.50%,9.1
home dog grooming kit,https://examplepetgear.com/collections/home-grooming-tools,6,1250,0.48%,7.7
best dog bath sprayer,https://examplepetgear.com/products/dog-bath-sprayer,5,1180,0.42%,6.2
dog washing attachment for shower,https://examplepetgear.com/products/dog-bath-sprayer,4,1120,0.36%,8.1
pet grooming apron waterproof,https://examplepetgear.com/products/waterproof-grooming-apron,4,1080,0.37%,9.3
dog ear cleaning kit,https://examplepetgear.com/products/dog-ear-cleaning-kit,3,1040,0.29%,7.5
dog grooming loop for table,https://examplepetgear.com/products/grooming-table-loop,3,1010,0.30%,8.8
self service dog grooming tools,https://examplepetgear.com/collections/home-grooming-tools,4,1320,0.30%,9.6
dog clipper blades for thick hair,https://examplepetgear.com/products/replacement-clipper-blades,5,1560,0.32%,6.7
best pet trimmer for paws,https://examplepetgear.com/products/paw-hair-trimmer,6,1690,0.36%,5.8
small dog grooming clippers,https://examplepetgear.com/products/paw-hair-trimmer,7,1810,0.39%,7.2
